district,population,child_population,young_child_population,total_pov_change,child_pov_change,young_child_pov_change,total_deep_pov_change,child_deep_pov_change,young_child_deep_pov_change,total_pov_rate,child_pov_rate,young_child_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,total_deep_pov_rate,child_deep_pov_rate,young_child_deep_pov_rate,new_total_deep_pov_rate,new_child_deep_pov_rate,new_young_child_deep_pov_rate,reform_target,monthly_benefit
"036",137998.50638469058,27920.790532813553,6638.5901737524446,-4.1,-10.9,0,0,0,0,8.9837264200723581,7.0380245477462893,4.8160161549134353,8.6198410566805919,6.2714844777921748,4.8160161549134353,2.685236008596517,1.8274590320004231,0.36478072265690825,2.685236008596517,1.8274590320004231,0.36478072265690825,"All Children",100
"023",133548.15767913003,27862.335125054648,6988.339586682655,-28.6,-65.4,-13.1,0,0,0,8.2820664742906782,13.204033501749022,9.534591348313306,5.9098916138733708,4.5691025120246076,8.2895976343830942,2.0635405268522296,0.6254186364870884,0.53736600714453819,2.0635405268522296,0.6254186364870884,0.53736600714453819,"All Children",100
"024",130034.15953075975,28421.306083763156,7178.4315357458217,-28.9,-53.9,-49.9,-5.6,-38.7,0,15.421856382161264,24.753127311831371,20.257891274874531,10.971675324289519,11.413972429038658,10.147408730870437,2.8229976883308789,1.166093394702183,0.49511537284245583,2.6659790280951317,0.7152023501223943,0.49511537284245583,"All Children",100
"035",138772.6739831373,29334.717660360671,7224.587102113348,-3.7,-12.8,0,0,0,0,8.2136582500046789,5.41606447192078,6.98026998640133,7.9078005606705277,4.7210232257657143,6.98026998640133,3.3781786526411208,2.5094309272937014,3.1039502656549067,3.3781786526411208,2.5094309272937014,3.1039502656549067,"All Children",100
"003",140518.83013425834,30562.05982737942,8474.6194131600951,-11.4,-24,-9.4,-1.1,-3.7,0,11.005673178728506,13.211030239492704,14.637796378131599,9.7474099666070924,10.04388257644878,13.264715263490082,3.1819954540972035,2.9769987708947934,2.2004414161734931,3.1470820818330831,2.8661598189589044,2.2004414161734931,"All Children",100
"012",130908.08116763597,30119.172576573583,8139.57585812543,-13.3,-38.4,-72.4,-10,-29.6,0,9.1257857591195091,9.1248571138099521,10.981960187886273,7.9145987324035536,5.6180494431159609,3.0264250408577329,3.3265795596886574,1.126651147198068,0.70400584558053259,2.992862345748811,0.79281798048687535,0.70400584558053259,"All Children",100
"001",114170.96362899712,21238.114213837565,5578.4352729718958,-12.1,-29.3,-55.3,0,0,0,11.085355658600969,11.005014709458207,15.924933955160636,9.7451034753670509,7.7832076083399562,7.1112385315418578,4.1372116721471386,4.2089366598234514,1.3969078277108646,4.1372116721471386,4.2089366598234514,1.3969078277108646,"All Children",100
"013",148745.83789038018,36389.271209665174,9943.9343175790709,-6.2,-14.1,-9.7,0,0,0,7.999514445240397,7.1005563944325791,7.0922525753697538,7.5067147119297184,6.0970144136802933,6.4045111397669334,2.7692324216020423,1.2426638935041578,2.5372985002822497,2.7692324216020423,1.2426638935041578,2.5372985002822497,"All Children",100
"031",145270.88316427977,32619.544246425525,9982.382059260528,0,0,0,-1.1,-2.5,0,7.4633238657956475,7.158132330192994,3.7178120853448333,7.4633238657956475,7.158132330192994,3.7178120853448333,2.7182298365880118,3.0199825126899955,2.142120895711948,2.6869979608382888,2.9430610232273011,2.142120895711948,"All Children",100
"032",156224.75947178405,34893.134200191911,9381.8869534363148,-6.8,-15.4,-50.4,-0.6,-2.2,0,5.891799154951797,6.29867092492698,5.2778520872698218,5.4883197732219129,5.3312535193457533,2.6171796725357011,1.9281879041347354,1.3773803954014243,1.1010545228861544,1.9157056692656054,1.3464738002749512,1.1010545228861544,"All Children",100
"025",126097.64789268172,26867.999196267705,6875.9303363584777,-25.5,-51.4,-46.2,-4,-27.6,0,14.216235814700642,21.174346203795835,17.791281268899837,10.587590854743363,10.283717110414022,9.5653110641278936,2.839671105752708,1.2118178733982772,0.4468805002240771,2.7261856811733272,0.87753150677009806,0.4468805002240771,"All Children",100
"026",127742.05797427213,24824.052780939528,6997.0551868390212,-11.2,-35.4,-18.6,0,0,0,12.882211555112386,9.74373592487523,10.270612788800946,11.433047123851575,6.2912527652982373,8.3633094455726233,4.0538744043317791,1.6612041248760372,0.91902216804251624,4.0538744043317791,1.6612041248760372,0.91902216804251624,"All Children",100
"002",133897.03637100285,29704.885786162435,7834.5647270281042,-18.2,-34,-66.3,0,0,0,9.3801498250290543,9.82243267238828,6.5305206463195677,7.6685203301140428,6.4871263687481511,2.1992818671454217,3.2013446172633628,3.2287659070730985,1.570915619389587,3.2013446172633628,3.2287659070730985,1.570915619389587,"All Children",100
"043",111884.09461572432,21848.458460065282,6911.1266498892,-3.7,-9.3,-4.5,-1.5,-6.6,0,19.912568525246208,23.374795922664742,23.205487671701462,19.170628548642181,21.209242072254341,22.150297448810655,7.0023286173134762,6.695144453603576,7.8075278228018448,6.8951179496859929,6.2563318387634306,7.8075278228018448,"All Children",100
"033",145629.0160642016,33012.007005937645,8479.4744565959336,-14.2,-40.5,-64.6,-2.9,-20.5,0,4.8481123400411335,4.9513997312771627,4.1618797496813587,4.15740881716198,2.9462865303067649,1.4726086284483333,1.3956536649095244,0.48693791440321038,0.18980167044652874,1.3546762888781125,0.3869680597610845,0.18980167044652874,"All Children",100
"028",153445.79015279879,36302.886635973045,8134.7281513871967,-9,-15.1,0,0,0,0,9.0709259748160562,11.212459366357768,8.5417343293277028,8.25135733881243,9.5191887826888557,8.5417343293277028,2.436896658593418,1.5186065693076511,1.5914257875933744,2.436896658593418,1.5186065693076511,1.5914257875933744,"All Children",100
"036",137998.50638469058,27920.790532813553,6638.5901737524446,-9.4,-27.8,-12.8,-13.2,-14.1,0,8.9837264200723581,7.0380245477462893,4.8160161549134353,8.1393945589597827,5.0825066257689286,4.19980193472983,2.685236008596517,1.8274590320004231,0.36478072265690825,2.3305511017315914,1.5691312765129903,0.36478072265690825,"All Children",200
"023",133548.15767913003,27862.335125054648,6988.339586682655,-35.3,-76.6,-41.4,-2,-14.9,0,8.2820664742906782,13.204033501749022,9.534591348313306,5.3570124720684538,3.0862679364630639,5.5846484258457618,2.0635405268522296,0.6254186364870884,0.53736600714453819,2.0227695326103716,0.5323388671433622,0.53736600714453819,"All Children",200
"024",130034.15953075975,28421.306083763156,7178.4315357458217,-39.4,-73.7,-66.8,-5.6,-38.7,0,15.421856382161264,24.753127311831371,20.257891274874531,9.3437189544150332,6.5012371521993755,6.7283284164944765,2.8229976883308789,1.166093394702183,0.49511537284245583,2.6659790280951317,0.7152023501223943,0.49511537284245583,"All Children",200
"035",138772.6739831373,29334.717660360671,7224.587102113348,-6,-24.1,-14.5,-18.7,-17.5,0,8.2136582500046789,5.41606447192078,6.98026998640133,7.7206821857757681,4.1134085514540546,5.9685573127698515,3.3781786526411208,2.5094309272937014,3.1039502656549067,2.7479824468227196,2.0701124037805942,3.1039502656549067,"All Children",200
"012",130908.08116763597,30119.172576573583,8139.57585812543,-20.6,-54.7,-76.8,-10,-29.6,0,9.1257857591195091,9.1248571138099521,10.981960187886273,7.2500276275265394,4.1376049660208176,2.5465894776857385,3.3265795596886574,1.126651147198068,0.70400584558053259,2.992862345748811,0.79281798048687535,0.70400584558053259,"All Children",200
"013",148745.83789038018,36389.271209665174,9943.9343175790709,-16.4,-40.9,-34.1,0,0,0,7.999514445240397,7.1005563944325791,7.0922525753697538,6.6904953000660168,4.1986170311480349,4.6751418987850837,2.7692324216020423,1.2426638935041578,2.5372985002822497,2.7692324216020423,1.2426638935041578,2.5372985002822497,"All Children",200
"031",145270.88316427977,32619.544246425525,9982.382059260528,-5.2,-11.1,0,-15.8,-40.5,0,7.4633238657956475,7.158132330192994,3.7178120853448333,7.0768025115798991,6.3627723807694148,3.7178120853448333,2.7182298365880118,3.0199825126899955,2.142120895711948,2.287609717334401,1.7970092229051438,2.142120895711948,"All Children",200
"032",156224.75947178405,34893.134200191911,9381.8869534363148,-16.7,-34.6,-50.4,-7.1,-28.5,0,5.891799154951797,6.29867092492698,5.2778520872698218,4.90969883850176,4.122298894829628,2.6171796725357011,1.9281879041347354,1.3773803954014243,1.1010545228861544,1.7903701129366081,0.98490374129680569,1.1010545228861544,"All Children",200
"025",126097.64789268172,26867.999196267705,6875.9303363584777,-35.2,-71,-65.1,-5.8,-37.1,0,14.216235814700642,21.174346203795835,17.791281268899837,9.2115326819208914,6.1473455803780865,6.2118179985381259,2.839671105752708,1.2118178733982772,0.4468805002240771,2.6748252490528093,0.76272039179691076,0.4468805002240771,"All Children",200
"026",127742.05797427213,24824.052780939528,6997.0551868390212,-16.3,-54.6,-56.5,-2.7,-16.3,0,12.882211555112386,9.74373592487523,10.270612788800946,10.77673924933767,4.4206344959178407,4.4659371572039621,4.0538744043317791,1.6612041248760372,0.91902216804251624,3.9433798903302035,1.3903811245931259,0.91902216804251624,"All Children",200
"033",145629.0160642016,33012.007005937645,8479.4744565959336,-19.5,-51.1,-64.6,-2.9,-20.5,0,4.8481123400411335,4.9513997312771627,4.1618797496813587,3.9038060782146737,2.4228384583744664,1.4726086284483333,1.3956536649095244,0.48693791440321038,0.18980167044652874,1.3546762888781125,0.3869680597610845,0.18980167044652874,"All Children",200
"028",153445.79015279879,36302.886635973045,8134.7281513871967,-25.5,-53.9,-73.8,-5.5,-27.8,0,9.0709259748160562,11.212459366357768,8.5417343293277028,6.75857160894868,5.1647178690990252,2.2409873335498536,2.436896658593418,1.5186065693076511,1.5914257875933744,2.3020236687748938,1.0965018679345981,1.5914257875933744,"All Children",200
"036",137998.50638469058,27920.790532813553,6638.5901737524446,0,0,0,0,0,0,8.9837264200723581,7.0380245477462893,4.8160161549134353,8.9837264200723581,7.0380245477462893,4.8160161549134353,2.685236008596517,1.8274590320004231,0.36478072265690825,2.685236008596517,1.8274590320004231,0.36478072265690825,"Young Children",100
"023",133548.15767913003,27862.335125054648,6988.339586682655,-0.9,-1,-5.3,0,0,0,8.2820664742906782,13.204033501749022,9.534591348313306,8.2083480065259113,13.076538546865768,9.02627215236577,2.0635405268522296,0.6254186364870884,0.53736600714453819,2.0635405268522296,0.6254186364870884,0.53736600714453819,"Young Children",100
"024",130034.15953075975,28421.306083763156,7178.4315357458217,-12.8,-22,-49.9,0,0,0,15.421856382161264,24.753127311831371,20.257891274874531,13.451021080388822,19.300674954595166,10.147408730870437,2.8229976883308789,1.166093394702183,0.49511537284245583,2.8229976883308789,1.166093394702183,0.49511537284245583,"Young Children",100
"004",148118.0657334245,34677.090763515211,8386.1615958809634,-0.5,-1.4,-2.4,0,0,0,8.8431729697103716,7.88182468511217,10.268198234722584,8.80117596570931,7.7742379351830868,10.020945069369358,2.6281071201289721,2.6038377290491024,2.6143051178832453,2.6281071201289721,2.6038377290491024,2.6143051178832453,"Young Children",100
"005",137093.76127801463,28591.270748825431,6856.0700265040568,-6.7,-17.3,-48.7,0,0,0,6.9073273448175447,7.6557465091299663,6.3045912653975371,6.4469881947089007,6.3319011815252413,3.2362821948488247,2.1387289711251984,2.156283566058002,1.1422172452407615,2.1387289711251984,2.156283566058002,1.1422172452407615,"Young Children",100
"009",151926.23747424368,35147.859860699609,8316.4453361316409,-1.1,-2.8,-11.7,0,0,0,7.3695018247909267,7.75028352296996,4.4123583256411942,7.2847905881881792,7.5306745809963935,3.8965185676406131,2.071240779282876,1.4957874002814924,1.0384185663472181,2.071240779282876,1.4957874002814924,1.0384185663472181,"Young Children",100
"045",117771.95295508276,24269.640233569524,7359.3565844502846,0,0,0,0,0,0,21.449398714101395,27.139301292682845,18.858675270130302,21.449398714101395,27.139301292682845,18.858675270130302,7.8874847790625964,7.872543029387832,3.5990688801692934,7.8874847790625964,7.872543029387832,3.5990688801692934,"Young Children",100
"035",138772.6739831373,29334.717660360671,7224.587102113348,0,0,0,0,0,0,8.2136582500046789,5.41606447192078,6.98026998640133,8.2136582500046789,5.41606447192078,6.98026998640133,3.3781786526411208,2.5094309272937014,3.1039502656549067,3.3781786526411208,2.5094309272937014,3.1039502656549067,"Young Children",100
"014",141946.04743803211,34745.048265983918,8938.4926896043617,-1.9,-4.2,-5,0,0,0,11.097748013477153,13.733999978829733,21.210579777282231,10.884855413386664,13.15470325361146,20.143611455794382,3.0986004316335332,1.9416320192332643,2.413085331737054,3.0986004316335332,1.9416320192332643,2.413085331737054,"Young Children",100
"020",141302.71815447757,32011.985805741428,10487.595621680797,-3.2,-8.4,-14.6,0,0,0,18.061915420361878,19.341005283375043,20.633639299210834,17.489084646851381,17.710273369574043,17.6119695820883,5.4707142439529921,4.3033651278127811,2.4061060063026645,5.4707142439529921,4.3033651278127811,2.4061060063026645,"Young Children",100
"003",140518.83013425834,30562.05982737942,8474.6194131600951,0,0,0,0,0,0,11.005673178728506,13.211030239492704,14.637796378131599,11.005673178728506,13.211030239492704,14.637796378131599,3.1819954540972035,2.9769987708947934,2.2004414161734931,3.1819954540972035,2.9769987708947934,2.2004414161734931,"Young Children",100
"012",130908.08116763597,30119.172576573583,8139.57585812543,-2.1,-5.4,-16.7,0,0,0,9.1257857591195091,9.1248571138099521,10.981960187886273,8.9313065664153335,8.6298631079968047,9.150315622454432,3.3265795596886574,1.126651147198068,0.70400584558053259,3.3265795596886574,1.126651147198068,0.70400584558053259,"Young Children",100
"001",114170.96362899712,21238.114213837565,5578.4352729718958,-8,-19.1,-50.2,0,0,0,11.085355658600969,11.005014709458207,15.924933955160636,10.202324489012398,8.906180864082291,7.9342930777924856,4.1372116721471386,4.2089366598234514,1.3969078277108646,4.1372116721471386,4.2089366598234514,1.3969078277108646,"Young Children",100
"013",148745.83789038018,36389.271209665174,9943.9343175790709,0,0,0,0,0,0,7.999514445240397,7.1005563944325791,7.0922525753697538,7.999514445240397,7.1005563944325791,7.0922525753697538,2.7692324216020423,1.2426638935041578,2.5372985002822497,2.7692324216020423,1.2426638935041578,2.5372985002822497,"Young Children",100
"031",145270.88316427977,32619.544246425525,9982.382059260528,0,0,0,0,0,0,7.4633238657956475,7.158132330192994,3.7178120853448333,7.4633238657956475,7.158132330192994,3.7178120853448333,2.7182298365880118,3.0199825126899955,2.142120895711948,2.7182298365880118,3.0199825126899955,2.142120895711948,"Young Children",100
"032",156224.75947178405,34893.134200191911,9381.8869534363148,-6.8,-15.4,-50.4,0,0,0,5.891799154951797,6.29867092492698,5.2778520872698218,5.4883197732219129,5.3312535193457533,2.6171796725357011,1.9281879041347354,1.3773803954014243,1.1010545228861544,1.9281879041347354,1.3773803954014243,1.1010545228861544,"Young Children",100
"025",126097.64789268172,26867.999196267705,6875.9303363584777,-10,-19,-41.2,0,0,0,14.216235814700642,21.174346203795835,17.791281268899837,12.801255954137128,17.147941757990758,10.455874030994959,2.839671105752708,1.2118178733982772,0.4468805002240771,2.839671105752708,1.2118178733982772,0.4468805002240771,"Young Children",100
"026",127742.05797427213,24824.052780939528,6997.0551868390212,0,0,0,0,0,0,12.882211555112386,9.74373592487523,10.270612788800946,12.882211555112386,9.74373592487523,10.270612788800946,4.0538744043317791,1.6612041248760372,0.91902216804251624,4.0538744043317791,1.6612041248760372,0.91902216804251624,"Young Children",100
"002",133897.03637100285,29704.885786162435,7834.5647270281042,-4.4,-9.2,-52.2,0,0,0,9.3801498250290543,9.82243267238828,6.5305206463195677,8.966522444209545,8.9227582124889029,3.1193895870736079,3.2013446172633628,3.2287659070730985,1.570915619389587,3.2013446172633628,3.2287659070730985,1.570915619389587,"Young Children",100
"043",111884.09461572432,21848.458460065282,6911.1266498892,0,0,0,0,0,0,19.912568525246208,23.374795922664742,23.205487671701462,19.912568525246208,23.374795922664742,23.205487671701462,7.0023286173134762,6.695144453603576,7.8075278228018448,7.0023286173134762,6.695144453603576,7.8075278228018448,"Young Children",100
"033",145629.0160642016,33012.007005937645,8479.4744565959336,-4.6,-10.7,-36.6,0,0,0,4.8481123400411335,4.9513997312771627,4.1618797496813587,4.6243680275448087,4.4228198155023906,2.6401365322416455,1.3956536649095244,0.48693791440321038,0.18980167044652874,1.3956536649095244,0.48693791440321038,0.18980167044652874,"Young Children",100
"028",153445.79015279879,36302.886635973045,8134.7281513871967,0,0,0,0,0,0,9.0709259748160562,11.212459366357768,8.5417343293277028,9.0709259748160562,11.212459366357768,8.5417343293277028,2.436896658593418,1.5186065693076511,1.5914257875933744,2.436896658593418,1.5186065693076511,1.5914257875933744,"Young Children",100
"036",137998.50638469058,27920.790532813553,6638.5901737524446,0,0,0,0,0,0,8.9837264200723581,7.0380245477462893,4.8160161549134353,8.9837264200723581,7.0380245477462893,4.8160161549134353,2.685236008596517,1.8274590320004231,0.36478072265690825,2.685236008596517,1.8274590320004231,0.36478072265690825,"Young Children",200
"023",133548.15767913003,27862.335125054648,6988.339586682655,-4.4,-6.1,-29.7,0,0,0,8.2820664742906782,13.204033501749022,9.534591348313306,7.9181996655101869,12.400243522198179,6.70654642414648,2.0635405268522296,0.6254186364870884,0.53736600714453819,2.0635405268522296,0.6254186364870884,0.53736600714453819,"Young Children",200
"024",130034.15953075975,28421.306083763156,7178.4315357458217,-12.9,-22.3,-51.2,0,0,0,15.421856382161264,24.753127311831371,20.257891274874531,13.42502310687399,19.23349772196234,9.8814363271482062,2.8229976883308789,1.166093394702183,0.49511537284245583,2.8229976883308789,1.166093394702183,0.49511537284245583,"Young Children",200
"045",117771.95295508276,24269.640233569524,7359.3565844502846,0,0,0,0,0,0,21.449398714101395,27.139301292682845,18.858675270130302,21.449398714101395,27.139301292682845,18.858675270130302,7.8874847790625964,7.872543029387832,3.5990688801692934,7.8874847790625964,7.872543029387832,3.5990688801692934,"Young Children",200
"035",138772.6739831373,29334.717660360671,7224.587102113348,0,0,0,0,0,0,8.2136582500046789,5.41606447192078,6.98026998640133,8.2136582500046789,5.41606447192078,6.98026998640133,3.3781786526411208,2.5094309272937014,3.1039502656549067,3.3781786526411208,2.5094309272937014,3.1039502656549067,"Young Children",200
"003",140518.83013425834,30562.05982737942,8474.6194131600951,-6.7,-7.7,-25,0,0,0,11.005673178728506,13.211030239492704,14.637796378131599,10.271676993927644,12.195711251552858,10.976246739087554,3.1819954540972035,2.9769987708947934,2.2004414161734931,3.1819954540972035,2.9769987708947934,2.2004414161734931,"Young Children",200
"012",130908.08116763597,30119.172576573583,8139.57585812543,-7,-21.4,-57.8,0,0,0,9.1257857591195091,9.1248571138099521,10.981960187886273,8.485977043063512,7.1744585579261209,4.635011817430879,3.3265795596886574,1.126651147198068,0.70400584558053259,3.3265795596886574,1.126651147198068,0.70400584558053259,"Young Children",200
"001",114170.96362899712,21238.114213837565,5578.4352729718958,-14.1,-28.4,-73.6,0,0,0,11.085355658600969,11.005014709458207,15.924933955160636,9.5189617225755327,7.8793998498954538,4.2071983827763617,4.1372116721471386,4.2089366598234514,1.3969078277108646,4.1372116721471386,4.2089366598234514,1.3969078277108646,"Young Children",200
"013",148745.83789038018,36389.271209665174,9943.9343175790709,-1.6,-3.5,-13,0,0,0,7.999514445240397,7.1005563944325791,7.0922525753697538,7.870511616502367,6.8487585883529141,6.1708125936883054,2.7692324216020423,1.2426638935041578,2.5372985002822497,2.7692324216020423,1.2426638935041578,2.5372985002822497,"Young Children",200
"031",145270.88316427977,32619.544246425525,9982.382059260528,0,0,0,0,0,0,7.4633238657956475,7.158132330192994,3.7178120853448333,7.4633238657956475,7.158132330192994,3.7178120853448333,2.7182298365880118,3.0199825126899955,2.142120895711948,2.7182298365880118,3.0199825126899955,2.142120895711948,"Young Children",200
"032",156224.75947178405,34893.134200191911,9381.8869534363148,-6.8,-15.4,-50.4,0,0,0,5.891799154951797,6.29867092492698,5.2778520872698218,5.4883197732219129,5.3312535193457533,2.6171796725357011,1.9281879041347354,1.3773803954014243,1.1010545228861544,1.9281879041347354,1.3773803954014243,1.1010545228861544,"Young Children",200
"025",126097.64789268172,26867.999196267705,6875.9303363584777,-11.2,-20.6,-46.2,0,0,0,14.216235814700642,21.174346203795835,17.791281268899837,12.620520784234357,16.803508413071196,9.5653110641278936,2.839671105752708,1.2118178733982772,0.4468805002240771,2.839671105752708,1.2118178733982772,0.4468805002240771,"Young Children",200
"026",127742.05797427213,24824.052780939528,6997.0551868390212,-3,-8.3,-18.6,0,0,0,12.882211555112386,9.74373592487523,10.270612788800946,12.493386073376982,8.9312669240264952,8.3633094455726233,4.0538744043317791,1.6612041248760372,0.91902216804251624,4.0538744043317791,1.6612041248760372,0.91902216804251624,"Young Children",200
